id,area,latitude,longitude,game_x,game_z,capture_month,panorama_id,heading_degrees,tags,orientation_note,google_maps_url
park-north-road,Park north road,17.9664127,-66.612913,37.3,-60.6,2025-04,JhM_LI_PQBghJ4oOxUMn6Q,111.37,"park,road",Approach beside the park,https://www.google.com/maps/@?api=1&map_action=pano&pano=JhM_LI_PQBghJ4oOxUMn6Q&viewpoint=17.9664127%2C-66.612913&heading=111.37&pitch=0&fov=80
park-south-road,Park south road,17.9657532,-66.6133916,6.9,-16.8,2016-04,bWfsy35VdOZyt7R89btN0w,85.18,"park,road,historical",Road beside the park,https://www.google.com/maps/@?api=1&map_action=pano&pano=bWfsy35VdOZyt7R89btN0w&viewpoint=17.9657532%2C-66.6133916&heading=85.18&pitch=0&fov=80
north-entrance,North entrance,17.9661478,-66.6134706,1.9,-43.0,2025-04,wJfrlqLbE9lFzO6YMZ3PPg,58.06,"entrance,road,park",Road toward the park,https://www.google.com/maps/@?api=1&map_action=pano&pano=wJfrlqLbE9lFzO6YMZ3PPg&viewpoint=17.9661478%2C-66.6134706&heading=58.06&pitch=0&fov=80
main-plaza,Main plaza and parking,17.9659976,-66.6137251,-14.3,-33.0,2025-04,LOGU5M9pmg16k8DurBCoNA,273.70,"plaza,parking,road",Approach to kiosk area,https://www.google.com/maps/@?api=1&map_action=pano&pano=LOGU5M9pmg16k8DurBCoNA&viewpoint=17.9659976%2C-66.6137251&heading=273.70&pitch=0&fov=80
boardwalk-north-end,North boardwalk end,17.9666356,-66.6157699,-144.2,-75.4,2016-05,06mkT5Y7XOILdJxFFbswmw,27.36,"boardwalk,historical",North waterfront end,https://www.google.com/maps/@?api=1&map_action=pano&pano=06mkT5Y7XOILdJxFFbswmw&viewpoint=17.9666356%2C-66.6157699&heading=27.36&pitch=0&fov=80
boardwalk-north,North boardwalk,17.9655381,-66.6150273,-97.0,-2.5,2016-05,nv8xU50_hIi6D4x2U88zBA,54.78,"boardwalk,historical",Waterfront walk,https://www.google.com/maps/@?api=1&map_action=pano&pano=nv8xU50_hIi6D4x2U88zBA&viewpoint=17.9655381%2C-66.6150273&heading=54.78&pitch=0&fov=80
kiosk-north,North and middle kiosks,17.9657512,-66.6151272,-103.4,-16.7,2016-05,MRTtacufePICGFg0Wbzwhw,50.99,"kiosk,boardwalk,historical",Kiosk frontage from boardwalk,https://www.google.com/maps/@?api=1&map_action=pano&pano=MRTtacufePICGFg0Wbzwhw&viewpoint=17.9657512%2C-66.6151272&heading=50.99&pitch=0&fov=80
boardwalk-middle,Middle boardwalk,17.9658949,-66.6151407,-104.2,-26.2,2016-05,xpHNYndtC8JNPWZ8_swnvw,307.33,"kiosk,boardwalk,historical",Land-facing boardwalk,https://www.google.com/maps/@?api=1&map_action=pano&pano=xpHNYndtC8JNPWZ8_swnvw&viewpoint=17.9658949%2C-66.6151407&heading=307.33&pitch=0&fov=80
kiosk-south,South boardwalk kiosks,17.9652529,-66.6147599,-80.0,16.4,2016-05,iBtQZrdesLDqBVvAYfOAgg,59.48,"kiosk,boardwalk,historical",Southern kiosk stretch,https://www.google.com/maps/@?api=1&map_action=pano&pano=iBtQZrdesLDqBVvAYfOAgg&viewpoint=17.9652529%2C-66.6147599&heading=59.48&pitch=0&fov=80
tower-approach,Tower approach,17.964525,-66.6139987,-31.7,64.7,2016-05,Rj8BEgULaxbZmOv9e-UXXw,207.85,"tower,boardwalk,historical",South promenade; lower image quality,https://www.google.com/maps/@?api=1&map_action=pano&pano=Rj8BEgULaxbZmOv9e-UXXw&viewpoint=17.964525%2C-66.6139987&heading=207.85&pitch=0&fov=80
tower-south-end,Tower and south terminus,17.9642938,-66.6139411,-28.0,80.0,2016-05,lQ1Kw1mfHc4PXUvDx_JiYA,317.95,"tower,boardwalk,historical",Tower-area ground level,https://www.google.com/maps/@?api=1&map_action=pano&pano=lQ1Kw1mfHc4PXUvDx_JiYA&viewpoint=17.9642938%2C-66.6139411&heading=317.95&pitch=0&fov=80
